date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2016-01-04,sh.000002,3701.5840,3703.7780,3449.4990,3450.0310,3704.2950,18281590784,239618314240.0000,3,0.006706,1,-6.864000,
2016-01-05,sh.000002,3345.6250,3483.1210,3338.1000,3440.7850,3450.0310,26481264384,326741291008.0000,3,0.009714,1,-0.268000,
2016-01-06,sh.000002,3444.4410,3519.7290,3442.2000,3518.5410,3440.7850,23725938688,284004167680.0000,3,0.008703,1,2.259800,
2016-01-07,sh.000002,3463.8910,3463.8910,3261.1640,3270.7060,3518.5410,7008106496,79590703104.0000,3,0.002568,1,-7.043700,
2016-01-08,sh.000002,3343.4420,3386.2810,3199.2530,3334.9340,3270.7060,28444573440,322577633280.0000,3,0.010407,1,1.963700,
2016-01-11,sh.000002,3277.7800,3313.9080,3157.7010,3157.7120,3334.9340,26944272384,284714168320.0000,3,0.009854,1,-5.314100,
2016-01-12,sh.000002,3167.6260,3190.0330,3117.5800,3164.0670,3157.7120,20644969472,223204487168.0000,3,0.007549,1,0.201300,
2016-01-13,sh.000002,3183.0890,3201.7530,3086.8800,3087.2040,3164.0670,19306988288,207397068800.0000,3,0.007060,1,-2.429200,
2016-01-14,sh.000002,3008.1150,3152.6980,3001.3570,3147.8630,3087.2040,21155713536,216966057984.0000,3,0.007736,1,1.964900,
2016-01-15,sh.000002,3127.3020,3141.6150,3018.1250,3036.0450,3147.8630,19748977408,205672648704.0000,3,0.007222,1,-3.552200,
2016-01-18,sh.000002,2980.0940,3082.6050,2977.1660,3049.4920,3036.0450,16374998784,172919402496.0000,3,0.005987,1,0.442900,
2016-01-19,sh.000002,3050.1150,3152.2810,3041.6410,3147.7260,3049.4920,20397213696,221696131072.0000,3,0.007457,1,3.221300,
2016-01-20,sh.000002,3132.2990,3156.7110,3089.3720,3115.3360,3147.7260,21525190656,233645641728.0000,3,0.007870,1,-1.029000,
2016-01-21,sh.000002,3071.0340,3138.5220,3014.2880,3014.7080,3115.3360,19039120128,202697764864.0000,3,0.006960,1,-3.230100,
2016-01-22,sh.000002,3046.8300,3068.0060,2984.5760,3052.4670,3014.7080,15876506112,169355272192.0000,3,0.005804,1,1.252500,
2016-01-25,sh.000002,3070.8030,3093.4930,3047.4490,3075.4220,3052.4670,15215750912,163410956288.0000,3,0.005560,1,0.752000,
2016-01-26,sh.000002,3043.1130,3047.6450,2871.4630,2877.6970,3075.4220,20956169472,211735588864.0000,3,0.007657,1,-6.429200,
2016-01-27,sh.000002,2884.3000,2897.5640,2760.9210,2862.7500,2877.6970,21436492544,206543810560.0000,3,0.007832,1,-0.519400,
2016-01-28,sh.000002,2837.1660,2867.9240,2770.4050,2778.9820,2862.7500,17018569984,166746537984.0000,3,0.006217,1,-2.926100,
2016-01-29,sh.000002,2776.0120,2883.4070,2772.7720,2864.7580,2778.9820,18564069888,179295748096.0000,3,0.006781,1,3.086600,
2016-02-01,sh.000002,2857.8120,2862.2810,2778.8260,2813.6790,2864.7580,15563344128,152350031872.0000,3,0.005684,1,-1.783000,
2016-02-02,sh.000002,2812.7810,2883.0870,2812.7810,2877.2090,2813.6790,15726709760,158395314176.0000,3,0.005744,1,2.257900,
2016-02-03,sh.000002,2845.7490,2873.5140,2821.9610,2866.3560,2877.2090,14775842560,146197057536.0000,3,0.005397,1,-0.377200,
2016-02-04,sh.000002,2879.1160,2922.9580,2878.9920,2910.0780,2866.3560,16951356416,174736842752.0000,3,0.006191,1,1.525300,
2016-02-05,sh.000002,2912.2140,2919.4650,2890.2220,2891.6220,2910.0780,14046097664,145011871744.0000,3,0.005129,1,-0.634200,
